id,email,prefix,first_name,last_name,specialization,description,profile_picture,documents,status,license_number,phone,reviewed_by,review_notes,approved_provider_id,created_at,updated_at
afdf0acd-cf34-49fe-9d38-f13377508b40,taylor.jackson@newprovider.com,NP,Taylor,Jackson,Dermatology,Seeking to join as a Cardiology specialist,https://example.com/applications/41e55ebf-5803-49be-b83d-cb227c48f5d3.jpg,"[""license_9811.pdf"", ""cv_2285.pdf""]",suspended,LIC648026,(717) 116-3980,admin_002,,,2025-08-07T14:33:37.220778,2025-08-03T16:39:37.220809
4a066a81-8d27-4e02-8c93-8b4bd85b92bd,alex.clark@newprovider.com,NP,Alex,Clark,Rheumatology,Seeking to join as a Gastroenterology specialist,https://example.com/applications/18084b08-991c-4bcd-84b1-8e265682c7da.jpg,"[""license_7977.pdf"", ""cv_7548.pdf""]",inactive,LIC587026,(401) 333-6130,admin_002,Approved,,2025-05-28T16:32:37.221000,2025-07-30T14:28:37.221039
f6ebcac3-434b-4ff3-8543-94e3a210d4fe,quinn.anderson@newprovider.com,Dr.,Quinn,Anderson,Endocrinology,Seeking to join as a Pulmonology specialist,https://example.com/applications/71d70f9e-9b0a-4a1f-b7ae-a3790295905c.jpg,"[""license_4538.pdf"", ""cv_5241.pdf""]",suspended,LIC731707,(963) 557-4904,,Needs additional documentation,,2025-05-19T06:16:37.221138,2025-07-24T21:02:37.221174
1a1e6b86-a761-4a03-9770-0a5baeb5a1ef,quinn.white@newprovider.com,Dr.,Quinn,White,Pediatrics,Seeking to join as a Urology specialist,https://example.com/applications/b712c673-7aed-4e4e-a572-09b9f4462d3e.jpg,"[""license_4379.pdf"", ""cv_7304.pdf""]",active,LIC294687,(638) 347-5512,admin_001,Approved,,2025-06-09T22:20:37.221282,2025-08-06T17:52:37.221296
9ca07a52-8f80-4858-b3fe-259b6e9a497e,morgan.clark@newprovider.com,PA,Morgan,Clark,Urology,Seeking to join as a Endocrinology specialist,https://example.com/applications/4d2e39b0-04ef-4955-8265-289ac26c55fa.jpg,"[""license_3234.pdf"", ""cv_6196.pdf""]",inactive,LIC311295,(603) 127-5008,admin_001,,,2025-07-06T10:21:37.221351,2025-08-02T02:55:37.221360
67d06f84-2c2e-425e-abd8-16a1641a1fcf,avery.anderson@newprovider.com,Dr.,Avery,Anderson,Dermatology,Seeking to join as a Cardiology specialist,https://example.com/applications/01e5f53e-ba24-4fa8-8442-6a245816d85a.jpg,"[""license_1202.pdf"", ""cv_7533.pdf""]",suspended,LIC838703,(450) 894-2979,admin_002,Under review,,2025-05-16T06:41:37.221411,2025-07-20T01:49:37.221420
e1faa377-e1d1-427d-9bbe-ff54cd4c4570,jordan.clark@newprovider.com,Dr.,Jordan,Clark,Dermatology,Seeking to join as a Hematology specialist,https://example.com/applications/9155018a-8da3-4769-958e-eee6b6b62148.jpg,"[""license_3629.pdf"", ""cv_6210.pdf""]",active,LIC230226,(341) 674-1234,admin_002,,,2025-07-15T00:05:37.221494,2025-07-28T20:19:37.221505
e2e19390-8efc-49fc-826d-92876b17460d,alex.moore@newprovider.com,NP,Alex,Moore,Psychiatry,Seeking to join as a Hematology specialist,https://example.com/applications/88a9794f-fb28-45e7-b0e6-3b5de319eeaf.jpg,"[""license_4297.pdf"", ""cv_6016.pdf""]",pending_approval,LIC591610,(921) 662-6498,admin_002,,,2025-05-16T10:43:37.221552,2025-07-19T16:53:37.221562
7ff02b70-9d12-43b4-a0c0-357ab1b822f6,morgan.jackson@newprovider.com,PA,Morgan,Jackson,Urology,Seeking to join as a General Practice specialist,https://example.com/applications/f140417c-1bfd-4b74-baf8-3bdd98233711.jpg,"[""license_8377.pdf"", ""cv_5138.pdf""]",active,LIC469478,(496) 500-3299,,Under review,223fd009-8d33-4ad2-8199-f3f0ae3b681b,2025-08-12T03:09:37.221641,2025-08-11T23:23:37.221658
e0f95638-7d41-4879-a573-2a999485ab6d,quinn.moore@newprovider.com,NP,Quinn,Moore,Urology,Seeking to join as a Urology specialist,https://example.com/applications/fc253180-13c2-45b0-8010-348ed7edc603.jpg,"[""license_3639.pdf"", ""cv_5441.pdf""]",inactive,LIC893231,(723) 461-4396,admin_001,,46003a78-061f-4794-a6eb-2900763f0e31,2025-07-24T18:41:37.221890,2025-08-16T12:04:37.221931
902ede30-c432-449a-aca4-ab08c4c32946,casey.wilson@newprovider.com,DO,Casey,Wilson,Neurology,Seeking to join as a Gastroenterology specialist,https://example.com/applications/327f0805-83f5-42cb-8083-c07e3c4722c7.jpg,"[""license_7738.pdf"", ""cv_1692.pdf""]",pending_approval,LIC281041,(854) 220-1887,admin_001,Under review,,2025-07-27T14:55:37.222042,2025-07-23T10:08:37.222053
8e014c3a-c276-46c3-b45d-1b315c30b969,quinn.clark@newprovider.com,NP,Quinn,Clark,Dermatology,Seeking to join as a Cardiology specialist,https://example.com/applications/8d16d935-9592-45d9-afac-17a840cbc1c0.jpg,"[""license_3396.pdf"", ""cv_9167.pdf""]",inactive,LIC184804,(318) 471-8011,admin_001,Under review,,2025-03-19T18:32:37.222093,2025-07-24T12:41:37.222099
662aedda-91b1-4218-8fe4-00bda577d9da,avery.white@newprovider.com,Dr.,Avery,White,Psychiatry,Seeking to join as a Urology specialist,https://example.com/applications/12fbb137-5b1b-446a-8860-ac2b4a193cb4.jpg,"[""license_7931.pdf"", ""cv_5005.pdf""]",pending_approval,LIC280560,(332) 462-4989,admin_001,Approved,d145cd00-322a-41e7-bec5-39acc35f30d8,2025-08-04T19:40:37.222131,2025-07-29T07:06:37.222137
b4b624e8-5dae-42c0-8b20-febc9fa58876,quinn.harris@newprovider.com,NP,Quinn,Harris,Geriatrics,Seeking to join as a Endocrinology specialist,https://example.com/applications/a8f1d418-0387-465b-858b-4a1433ede314.jpg,"[""license_6484.pdf"", ""cv_5317.pdf""]",inactive,LIC439796,(358) 764-8362,admin_002,,,2025-05-03T08:51:37.222163,2025-08-17T07:18:37.222168
