id,username,email,prefix,first_name,last_name,specialization,description,status,profile_picture,license_number,phone,created_at,updated_at
0ff9edb7-ec52-4736-ba12-182b387a365a,brandon.sanchez301,pdixon@example.org,Dr.,Brandon,Sanchez,Geriatrics,Experienced Hematology specialist with over 12 years of practice.,pending_approval,https://example.com/profiles/0ff9edb7-ec52-4736-ba12-182b387a365a.jpg,MD165711,(805) 511-7479,2024-09-14T20:05:34.703293,2025-09-10T05:06:34.703311
5c4aef43-c6b0-4e88-8fc2-f95a2ed82412,edward.leach829,cruzscott@example.org,DO,Edward,Leach,Dermatology,Experienced Gastroenterology specialist with over 22 years of practice.,suspended,https://example.com/profiles/5c4aef43-c6b0-4e88-8fc2-f95a2ed82412.jpg,MD358298,(845) 969-3101,2024-08-27T03:57:34.703691,2025-08-31T15:11:34.703703
d72aa547-603a-4098-a6ae-ecbab78acd55,christina.smith769,susan75@example.net,MD,Christina,Smith,Pulmonology,Experienced Pediatrics specialist with over 16 years of practice.,inactive,https://example.com/profiles/d72aa547-603a-4098-a6ae-ecbab78acd55.jpg,MD770416,(423) 697-8187,2024-08-31T01:10:34.704234,2025-09-17T00:23:34.704251
4a19421a-e561-44f8-96c6-1baaacfd4c3a,angela.hendrix47,kmorris@example.org,Dr.,Angela,Hendrix,Hematology,Experienced Pediatrics specialist with over 5 years of practice.,inactive,https://example.com/profiles/4a19421a-e561-44f8-96c6-1baaacfd4c3a.jpg,MD879040,(629) 551-2041,2025-02-18T01:12:34.704690,2025-09-09T12:45:34.704701
b7425767-4781-49f8-80f4-087159325928,christopher.watkins897,zcollins@example.org,PA,Christopher,Watkins,Pulmonology,Experienced Urology specialist with over 9 years of practice.,inactive,https://example.com/profiles/b7425767-4781-49f8-80f4-087159325928.jpg,MD659357,(912) 434-1013,2024-11-15T18:13:34.705059,2025-09-12T02:57:34.705066
e9a64b10-5c0c-41ff-97b5-3e7dc2f76809,jerry.cameron259,llambert@example.org,MD,Jerry,Cameron,Oncology,Experienced Pulmonology specialist with over 7 years of practice.,pending_approval,https://example.com/profiles/e9a64b10-5c0c-41ff-97b5-3e7dc2f76809.jpg,MD819991,(830) 499-4243,2025-04-19T22:56:34.705366,2025-09-16T01:17:34.705373
d1808165-b4a7-4e0c-a2c2-49978ad7fbbc,nicole.thomas801,michael21@example.com,PA,Nicole,Thomas,Rheumatology,Experienced Rheumatology specialist with over 23 years of practice.,pending_approval,https://example.com/profiles/d1808165-b4a7-4e0c-a2c2-49978ad7fbbc.jpg,MD324034,(260) 337-1132,2024-11-27T09:24:34.705656,2025-09-09T00:46:34.705663
2ef4c2fa-3020-45be-8fee-2340bfa90251,steven.ford452,nealdavid@example.com,DO,Steven,Ford,Radiology,Experienced Radiology specialist with over 8 years of practice.,inactive,https://example.com/profiles/2ef4c2fa-3020-45be-8fee-2340bfa90251.jpg,MD154282,(907) 582-9225,2025-07-29T08:55:34.706060,2025-08-26T11:27:34.706070
d62ac50c-f29e-404b-9972-97587e28e8af,danny.owen492,jeremiahwalton@example.org,Prof.,Danny,Owen,Endocrinology,Experienced Orthopedics specialist with over 11 years of practice.,active,https://example.com/profiles/d62ac50c-f29e-404b-9972-97587e28e8af.jpg,MD440338,(309) 266-5098,2025-01-27T20:31:34.706569,2025-09-01T20:51:34.706581
961adf9d-945d-485d-bd08-9b04b0869b24,henry.reynolds647,coreypope@example.net,Dr.,Henry,Reynolds,Cardiology,Experienced Urology specialist with over 22 years of practice.,active,https://example.com/profiles/961adf9d-945d-485d-bd08-9b04b0869b24.jpg,MD675450,(804) 299-1742,2023-12-29T12:36:34.707152,2025-08-29T17:41:34.707165
9b4c9a0c-9b0d-469d-aab9-7f793ab2b0a6,donna.jones434,boydrenee@example.net,MD,Donna,Jones,General Practice,Experienced Pediatrics specialist with over 19 years of practice.,active,https://example.com/profiles/9b4c9a0c-9b0d-469d-aab9-7f793ab2b0a6.jpg,MD526294,(918) 867-1037,2025-04-25T20:09:34.708231,2025-08-31T12:49:34.708332
03c1fb29-028e-4c17-bb45-3d517d20595e,adam.diaz251,hamiltonkendra@example.net,NP,Adam,Diaz,Endocrinology,Experienced Psychiatry specialist with over 13 years of practice.,inactive,https://example.com/profiles/03c1fb29-028e-4c17-bb45-3d517d20595e.jpg,MD841058,(440) 212-7623,2025-08-16T08:50:34.709490,2025-09-13T08:50:34.709511
2cf9fafd-7fa2-4f51-8886-0e3b71ed4f80,samuel.nichols982,andrea19@example.com,PA,Samuel,Nichols,Radiology,Experienced Pediatrics specialist with over 25 years of practice.,pending_approval,https://example.com/profiles/2cf9fafd-7fa2-4f51-8886-0e3b71ed4f80.jpg,MD829153,(212) 891-6348,2025-05-01T04:43:34.710184,2025-08-27T06:55:34.710198
